2020-11-28 14:48:06.765 [background-preinit] [INFO ] [org.hibernate.validator.internal.util.Version] - HV000001: Hibernate Validator 6.1.6.Final
2020-11-28 14:48:06.880 [main] [INFO ] [com.example.demo.DemoApplication] - Starting DemoApplication using Java 1.8.0_152 on Lin-PC with PID 3760 (C:\Users\Lin\Desktop\demo\target\classes started by Lin in C:\Users\Lin\Desktop\demo)
2020-11-28 14:48:06.882 [main] [INFO ] [com.example.demo.DemoApplication] - No active profile set, falling back to default profiles: default
2020-11-28 14:48:09.508 [main] [INFO ] [io.undertow.servlet] - Initializing Spring embedded WebApplicationContext
2020-11-28 14:48:09.510 [main] [INFO ] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2306 ms
2020-11-28 14:48:10.221 [main] [INFO ] [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] - Initializing ExecutorService 'configTaskScheduler'
2020-11-28 14:48:10.558 [main] [INFO ] [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-28 14:48:11.166 [main] [INFO ] [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 14 endpoint(s) beneath base path '/actuator'
2020-11-28 14:48:11.219 [main] [INFO ] [io.undertow] - starting server: Undertow - 2.2.2.Final
2020-11-28 14:48:11.234 [main] [INFO ] [org.xnio] - XNIO version 3.8.0.Final
2020-11-28 14:48:11.248 [main] [INFO ] [org.xnio.nio] - XNIO NIO Implementation Version 3.8.0.Final
2020-11-28 14:48:11.341 [main] [INFO ] [org.jboss.threads] - JBoss Threads version 3.1.0.Final
2020-11-28 14:48:11.423 [main] [INFO ] [o.s.boot.web.embedded.undertow.UndertowWebServer] - Undertow started on port(s) 9000 (http)
2020-11-28 14:48:11.472 [main] [INFO ] [com.example.demo.DemoApplication] - Started DemoApplication in 6.237 seconds (JVM running for 7.041)
2020-11-28 14:48:11.477 [main] [INFO ] [com.example.demo.service.InitService] - InitService : init database
2020-11-28 14:48:16.464 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 14:49:56.470 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 14:51:36.473 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 14:53:16.478 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 14:54:56.484 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 14:56:36.489 [configTaskScheduler-2] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 14:58:16.495 [configTaskScheduler-4] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 14:59:56.501 [configTaskScheduler-1] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:01:36.506 [configTaskScheduler-5] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:03:16.509 [configTaskScheduler-3] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:04:56.515 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
2020-11-28 15:06:36.520 [configTaskScheduler-6] [INFO ] [com.example.demo.service.ScheduleService] - schedule : save user list to database
